,user,round,similarity,similarity_words,similarity_sentences,similarity_paragraphs,distance,distance_words,distance_sentences,distance_paragraphs
0,0,0,0.8786885245901639,0.8288288288288288,0.5,0.4545454545454546,37,19,5,6
1,1,0,0.6271676300578035,0.5081967213114754,0.11111111111111116,0.18181818181818177,129,30,8,9
2,2,0,0.7592067988668555,0.6893939393939394,0.2727272727272727,0.41666666666666663,85,41,8,7
3,3,0,0.30363036303630364,0.13559322033898302,0.0,0.0714285714285714,211,51,8,13
4,1,1,0.8503401360544218,0.11111111111111116,0.0,0.0,88,40,5,8
5,0,2,0.9925,0.9482758620689655,0.7,0.75,3,3,3,3
6,1,2,0.6265560165975104,0.26530612244897955,0.33333333333333337,0.33333333333333337,180,72,8,10
7,2,2,0.9567430025445293,0.9019607843137255,0.5833333333333333,0.6428571428571428,17,5,5,5
8,3,2,0.17613636363636365,0.24285714285714288,0.0,0.04347826086956519,435,53,11,22
9,0,3,0.9751552795031055,0.8627450980392157,0.9090909090909091,0.9333333333333333,12,7,1,1
10,2,3,1.0,1.0,1.0,1.0,0,0,0,0
11,3,3,0.7452574525745257,0.8181818181818181,0.0,0.6666666666666667,94,8,1,7
